"","year","occR","trust_gover","number"
"1","2002","0","0",47
"2","2002","0","1",383
"3","2002","1","0",101
"4","2002","1","1",1045
"5","2006","0","0",193
"6","2006","0","1",3941
"7","2006","1","0",45
"8","2006","1","1",860
"9","2008","0","0",704
"10","2008","0","1",2321
"11","2008","1","0",129
"12","2008","1","1",424
"13","2009","0","0",121
"14","2009","0","1",3053
"15","2009","1","0",24
"16","2009","1","1",473
"17","2010","0","0",466
"18","2010","0","1",2450
"19","2010","1","0",205
"20","2010","1","1",1347
"21","2014","0","0",556
"22","2014","0","1",2121
"23","2014","1","0",143
"24","2014","1","1",473
"25","2017","0","0",486
"26","2017","0","1",4788
"27","2017","1","0",72
"28","2017","1","1",896
"29","2019","0","0",298
"30","2019","0","1",2495
"31","2019","1","0",99
"32","2019","1","1",1053
