,year,occR,trust_goverR,n,体制内总计,体制外总计,体制内信任,体制内不,体制外信任,体制外不,
1,2002,0,0,47,1146,430,0.911867365,0.088132635,0.890697674,0.109302326,0.109302326
2,2002,0,1,383,,,,,,,
3,2002,1,0,101,,,,,,,
4,2002,1,1,1045,,,,,,,
5,2006,0,0,105,884,4046,0.970588235,0.029411765,0.974048443,0.025951557,
6,2006,0,1,3941,,,,,,,
7,2006,1,0,26,,,,,,,
8,2006,1,1,858,,,,,,,
9,2008,0,0,136,578,3247,0.956747405,0.043252595,0.958115183,0.041884817,
10,2008,0,1,3111,,,,,,,
11,2008,1,0,25,,,,,,,
12,2008,1,1,553,,,,,,,
13,2009,0,0,121,497,3174,0.951710262,0.048289738,0.961877757,0.038122243,
14,2009,0,1,3053,,,,,,,
15,2009,1,0,24,,,,,,,
16,2009,1,1,473,,,,,,,
17,2010,0,0,140,1448,2573,0.955110497,0.044889503,0.945588807,0.054411193,
18,2010,0,1,2433,,,,,,,
19,2010,1,0,65,,,,,,,
20,2010,1,1,1383,,,,,,,
21,2014,0,0,556,616,2677,0.767857143,0.232142857,0.792304819,0.207695181,
22,2014,0,1,2121,,,,,,,
23,2014,1,0,143,,,,,,,
24,2014,1,1,473,,,,,,,
25,2017,0,0,401,945,5182,0.933333333,0.066666667,0.92261675,0.07738325,
26,2017,0,1,4781,,,,,,,
27,2017,1,0,63,,,,,,,
28,2017,1,1,882,,,,,,,
29,2019,0,0,298,1152,2793,0.9140625,0.0859375,0.89330469,0.10669531,
30,2019,0,1,2495,,,,,,,
31,2019,1,0,99,,,,,,,
32,2019,1,1,1053,,,,,,,
33,2021,0,0,169,992,3287,0.969758065,0.030241935,0.948585336,0.051414664,
34,2021,0,1,3118,,,,,,,
35,2021,1,0,30,,,,,,,
36,2021,1,1,962,,,,,,,
